identifiant,pays,score irc,rang par mortalites,deces_total,perte_PIB_total,rang_pertes_PPA,pertes_totales_PPA,nombre total d’habitants
81,Fiji,51.0,85,3,0.2301,95,18.557,883483
82,Germany,63.83,52,18,0.0743,9,2869.197,82905782
83,Eritrea,124.5,114,0,0.0250,135,0.0,3497117
84,Georgia,44.0,50,20,0.1435,82,51.219,3907131
85,France,33.33,2,3336,0.0401,20,1069.897,66987244
86,Guinea-Bissau,54.83,74,7,0.142,111,3.814,1874308
87,Afghanistan,43.33,6,364,0.0539,90,33.45,37172386
88,Iceland,103.17,114,0,0.0419,109,6.358,353574
89,India,15.33,1,4317,0.5011,1,40077.222,1352617328
90,Kenya,62.17,15,171,0.0088,102,12.564,51393010
91,Lao People’s Democratic Republic,81.17,90,2,0.0856,91,32.194,7061507
92,Republic of Korea,124.5,114,0,0.0250,135,0.0,51606633
93,Kazakhstan,93.17,90,2,0.0217,65,99.411,18276499
94,Kyrgyz Republic,88.0,72,8,0.002,124,0.397,6309308
95,Japan,46.33,23,106,0.0862,5,4174.851,126529100
96,Kiribati,75.5,114,0,6.25,101,12.625,115847
97,Latvia,124.5,114,0,0.0250,135,0.0,1927174
98,Lithuania,124.5,114,0,0.0250,135,0.0,2801543
99,Malawi,13.83,20,111,4.4507,23,907.985,18143217
100,Libya,124.5,114,0,0.0250,135,0.0,6678567
101,Madagascar,23.33,19,118,0.6417,53,228.038,25570895
102,Malaysia,117.0,90,2,0.0250,126,0.276,31528585
103,Liberia,86.0,102,1,0.0983,112,3.694,4818977
104,Malta,124.5,114,0,0.0250,135,0.0,483530
105,Mali,105.83,78,5,0.0004,129,0.136,19077690
106,Netherlands,94.5,90,2,0.0151,63,126.514,17231624
107,Nigeria,76.0,26,79,0.0118,62,128.768,195874740
108,Morocco,121.5,102,1,0.0250,133,0.027,36029138
109,Nicaragua,40.83,60,12,0.4262,61,134.805,6460411
110,Niger,77.17,49,21,0.0139,116,2.649,22442948
111,New Zealand,75.83,102,1,0.1202,55,201.805,4885500
112,Poland,67.0,47,22,0.0331,37,333.205,37978548
113,Norway,70.83,81,4,0.0453,58,161.838,5311916
114,Papua New Guinea,41.5,55,14,0.4154,64,112.043,8251162
115,Portugal,104.5,90,2,0.0025,107,7.322,10283822
116,Peru,45.5,34,45,0.0989,35,385.632,31989256
117,Pakistan,28.17,3,1663,0.0974,24,907.122,200813818
118,Panama,104.83,102,1,0.0039,113,3.436,4176873
119,Paraguay,47.5,76,6,0.4655,41,284.588,6956066
120,Congo,104.0,90,2,0.0006,128,0.166,4741000
121,Republic of Yemen,41.83,41,32,0.3048,52,230.67,28498687
122,Senegal,105.83,114,0,0.022,105,8.071,16296364
123,Russia,59.5,21,110,0.0252,22,937.386,144478050
124,Bhutan,76.17,78,5,0.005,125,0.297,754394
125,Uzbekistan,124.5,114,0,0.0250,135,0.0,32955400
126,Zambia,98.33,114,0,0.0456,92,28.5,17351822
127,Zimbabwe,29.5,43,29,0.9044,48,253.578,14439018
128,Armenia,98.33,114,0,0.0522,100,13.266,2951776
129,Botswana,70.17,114,0,0.6938,49,242.431,2254068
130,Bangladesh,46.17,16,168,0.0959,33,556.442,166303498
131,Belize,124.5,114,0,0.0250,135,0.0,383071
132,Cape Verde,52.0,90,2,0.2494,104,8.511,531239
133,Brunei Darussalam,124.5,114,0,0.0250,135,0.0,428697
134,Burundi,33.0,33,48,0.4726,87,37.006,11175378
135,Comoros,124.5,114,0,0.0250,135,0.0,806153
136,Cyprus,124.5,114,0,0.0250,135,0.0,1189194
137,Dominica,13.0,42,31,77.3694,32,611.219,71625
138,Saint Vincent and the Grenadines,124.5,114,0,0.0250,135,0.0,110488
139,Taiwan,56.17,65,11,0.1338,16,1472.523,23604000
140,Costa Rica,77.5,90,2,0.0758,79,56.885,4999441
141,St. Lucia,124.5,114,0,0.0250,135,0.0,181889
142,Switzerland,85.33,85,3,0.0196,67,94.589,8516543
143,Sudan,75.33,35,43,0.008,99,13.519,41801533
144,Djibouti,124.5,114,0,0.0250,135,0.0,958923
145,Jamaica,124.5,114,0,0.0250,135,0.0,2934855
146,Democratic Republic of Timor-Leste,124.5,114,0,0.0250,135,0.0,1267972
147,Luxembourg,124.5,114,0,0.0250,135,0.0,604245
148,El Salvador,53.0,78,5,0.349,56,184.311,6420744
149,St. Kitts and Nevis,124.5,114,0,0.0250,135,0.0,52686
150,Tajikistan,37.67,68,10,1.0945,46,263.053,9107211
151,Former Yugoslav Republic of Macedonia,33.83,76,6,0.8921,47,259.554,2085051
152,Grenada,124.5,114,0,0.0250,135,0.0,112003
153,Haiti,50.33,60,12,0.299,80,56.28,11123176
154,Guatemala,45.0,9,288,0.0419,81,52.921,17247841
155,Israel,93.17,102,1,0.0317,69,90.509,8883800
156,Jordan,103.5,90,2,0.0028,117,2.314,9702353
157,Tuvalu,75.17,114,0,33.3333,103,12.333,11508
158,Kuwait,124.5,114,0,0.0250,135,0.0,4136528
159,Micronesia,28.5,71,9,12.5786,86,38.491,112640
160,Kosovo,124.5,114,0,0.0250,135,0.0,1830700
161,Mauritius,124.5,114,0,0.0250,135,0.0,1260935
162,Mongolia,59.83,102,1,0.6409,51,231.767,3170208
163,Nepal,51.33,11,198,0.0299,93,20.981,28087871
164,Namibia,85.83,114,0,0.174,83,44.533,2448255
165,Mozambique,12.17,7,351,1.4993,34,500.073,29495962
166,Myanmar,20.83,14,173,0.4786,17,1359.654,53708395
167,Philippines,28.83,12,196,0.2417,15,1797.737,106651394
168,Oman,33.33,60,12,0.3901,30,654.718,4829483
169,Lesotho,124.5,114,0,0.0250,135,0.0,2108132
170,Lebanon,72.33,54,15,0.008,108,6.651,6848925
171,Marshall Islands,124.5,114,0,0.0250,135,0.0,58413
172,Montenegro,124.5,114,0,0.0250,135,0.0,622359
173,Rwanda,97.0,68,10,0.0001,134,0.025,12301970
174,Qatar,110.33,114,0,0.006,94,19.273,2781677
175,Puerto Rico,97.0,114,0,0.0437,78,57.565,3195153
176,Samoa,124.5,114,0,0.0250,135,0.0,196130
177,Seychelles,124.5,114,0,0.0250,135,0.0,96762
178,Gambia,124.5,114,0,0.0250,135,0.0,2280102
179,Togo,114.33,102,1,0.0012,130,0.13,7889094
180,Trinidad and Tobago,124.5,114,0,0.0250,135,0.0,1389858
181,Tonga,124.5,114,0,0.0250,135,0.0,103197
